run_label,instance,seed,started_calls,completed_calls,exact_calls,cache_hits,precomputed_routes,deadline_events,reconciliation_status,reconciliation_checks
stage03_measurement_formal01,r103C10,2015,2062,2062,2062,33129,237,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,r103C10,2016,2304,2304,2304,29597,189,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,r105C15,2014,2345,2345,2345,77999,8,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,r105C15,2015,3123,3123,3123,77109,33,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,r105C15,2016,3397,3397,3397,74164,11,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,r105C5,2014,72,72,72,7829,0,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,r105C5,2015,72,72,72,7801,0,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,r105C5,2016,72,72,72,7868,0,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc101_21,2014,2240,2240,2240,5306,96,5,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc101_21,2015,2225,2225,2225,5355,96,9,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc101_21,2016,2269,2269,2269,3967,96,7,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc102C10,2014,718,718,718,35067,26,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc102C10,2015,709,709,709,35479,28,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc102C10,2016,764,764,764,33450,32,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc103C15,2014,2475,2475,2475,82312,25,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc103C15,2015,2295,2295,2295,84823,13,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc103C15,2016,2305,2305,2305,82647,35,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc105C5,2014,75,75,75,7356,56,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc105C5,2015,74,74,74,7317,64,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03_measurement_formal01,rc105C5,2016,74,74,74,7458,72,0,pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
