"sequence","legacy_sha","public_sha","author_date","subject"
"27","c38467d7c2f35206956dafa111152a3c4b8f5a76","5f659ae155ce994b38ab47ef0474131a1dcb63fc","2026-07-14T07:27:59+08:00","Implement Stage 3.2 cache incremental audit"
"28","0c121264879fd862f181804be534d0f272a1e995","902259c20254ce260cc2adcebdbdf8d94c487aa9","2026-07-14T07:41:12+08:00","Stream Stage 3.2 replay audit"
"29","468b2d71040b4d7e583c02ca2036c393a50a94c5","1775e408dd6f292836212ac25153f96aa51c0406","2026-07-14T07:43:01+08:00","Avoid replay event materialization"
"30","3fff97efc7964e4c8d594be461204051df9d505b","43335f59ae6de05eef31f7233049b6791832fce3","2026-07-14T08:27:02+08:00","Record initial Stage 3.2 formal evidence"
"31","08c989d5486b4769854f427fab461b9f1bcad2ae","1cf79eb398316b80ddb1948b410a79fe6366dbd1","2026-07-14T08:36:14+08:00","Harden Stage 3.2 cache audit"
"32","f19040674681e87378f7c1e1c41a54f2b6e6eed9","3ced54afd128c24a242173273b41445dff73e619","2026-07-14T08:51:22+08:00","Fix Stage 3.2 unchanged cache-hit audit"
"33","beadd9fc6fc167338f80eea73d9113112c0268b8","adb440ec358e5db56f64da09542b867bb464d602","2026-07-14T09:07:39+08:00","Prevent unchanged exact calls in Stage 3.2 refinement"
"34","b6ec757c5b8a3290a274d28c5be11923beb06edb","99f6a7cb560e6313ed655e286d45e61f0cf6ea06","2026-07-14T09:19:27+08:00","Mark destroyed refinement routes as changed"
"35","029fc2428cfc6afaaf20277be619010761b009cd","24df77f0bfe9f8219a7068c123baba4c6175da39","2026-07-14T09:54:37+08:00","Publish Stage 3.2 cache incremental evidence"
"36","658497a361c6e751e572827ba9ada82375d747e5","af3ee705cc7305efb3ea99a20d80ef68378af5e4","2026-07-14T11:40:37+08:00","Implement Parquet artifact storage policy v2"
"37","f8eea20db7607e501c96c9f5947811bf84b37722","19a2a136a92dc630d533ffa9c8ce525b69c0b8d8","2026-07-14T13:14:57+08:00","Add Metal exact charging pilot"
"38","f9896c8a1d3a8a7a2c8c06dfc344a2f8aa43af83","6d6eb24abee0e5bfc420022b12d72388aadbefad","2026-07-14T18:04:50+08:00","Replace Metal pilot with CPU batch acceleration"
"39","a35a2b7723dc0e491ba70bbacb76b37bdb47e6be","58feb1cff7c609a277ad7ea3337c4a1d3c1ba498","2026-07-14T18:34:54+08:00","Ignore local staged-improvement roadmap"
"40","bd562826da490f76c40c6a2da1ee9e805e7b0a43","9f377eac3de641d3844b079c4d4b1dd3ddb2ee88","2026-07-14T19:11:03+08:00","Implement Stage 3.3 exact deadline diagnostics"
"41","0f13fda808f304533631f7ecd6bd09be44cbd817","910e671aef49d5595f50e08b31fbeea3e952fa75","2026-07-14T19:14:43+08:00","Handle single-route exact deadline checkpoints"
"42","f1df080cb4589c292f3eb8e7192b50a5caeb696a","b4e93dc2ae6aaf199b9a4ba61775befc4a3d7065","2026-07-14T19:26:57+08:00","Reconcile Stage 3.3 exact-call accounting"
"43","a87ac29efa10c0b11b1ede098a77dd5f2632d3ba","8b9b6dda1956a66e17d44a4edf18bf37192260e3","2026-07-14T19:40:51+08:00","Enforce global exact-budget transaction boundary"
"44","a4a4aa3b63c81973f6ac21dc4d88150ff941ea01","f0b58bc68a44638a0e4e90154f0218d8efbe7709","2026-07-14T19:53:14+08:00","Use candidate-state authority at budget boundaries"
"45","be934be28be26f9834d28b28f0d04f89fd76773f","60c0ad4e19fe540ddab5887f3108f08812081454","2026-07-14T20:28:03+08:00","Publish Stage 3.3 formal review evidence"
"46","56dc0ee5050f94e2f58f5ec4370ffeb008da7841","15a217d243df437f7a89dc496841fcf1982ee494","2026-07-14T20:28:10+08:00","Document accepted Stage 3.3 evidence"
"47","e2f69d44dee76e4761a3f8c02aca34b6224740ed","20032e2645aa8e0f211e329c141b00edfcc72236","2026-07-15T05:32:51+08:00","feat: add stage 3.4 candidate control"
"48","ef2a5b62688af7a36c8a1e1f43bebabac298d96c","90f9729eb36ff606a5fd6322877537e80f9b876e","2026-07-15T05:36:57+08:00","fix: reconcile parallel deadline results"
"49","b0d8f7093dfad252dd6702912e36efa107e8a735","8d6cd176a00789b1ac03dd224ea763514fefdd77","2026-07-15T05:54:07+08:00","fix: aggregate candidate pool diagnostics"
"50","6d886a88f4d9ebbfe06671f248e8b758d06e42df","8fd07a085870de9f9a8f5095c63a524c8c18e115","2026-07-15T06:05:45+08:00","fix: aggregate repair screening evidence"
"51","985ec47fde07c5bef573efd1ae8e4060d4e9c0f8","23d0dc5d0d163a76ccc432e35e6f8d27911b0129","2026-07-15T06:48:55+08:00","fix: preserve candidate transaction semantics"
"52","1b0a51085189a0670f50ee61330dd1652ee5ec97","6cb68d9e322491b523410c728e7169fc3fda1ccd","2026-07-15T07:28:18+08:00","fix: reconcile unchanged candidate routes"
"53","29381559e0ae999ea4dec6fd67452dd2401095a4","ecb0c30278d69873dfa1632ec93009bccfcac94d","2026-07-15T07:51:06+08:00","fix: harden stage 3.4 control audit"
"54","02022e7c7001dfcb51386ceaad806f486786c512","a909b8019bb56d71df667dc089c9d0a3ef2961df","2026-07-15T08:38:18+08:00","fix: inherit audited stage 3.3 incumbent"
"55","8576e685f8294a9b64be4912c0d601e384fe44c7","8b2e9ab0f99814a5b42fb9c8dd944325f007ceea","2026-07-15T08:48:29+08:00","perf: stop exhausted fixed-work candidate search"
"56","c0ae8a41da0e7e06326caf84407730e715628979","791107794107bcc9d376d9ff4776d9d2a04462b2","2026-07-15T09:12:27+08:00","fix(stage034): preserve replay audit evidence"
"57","125ef5e21ddd3a7a0db102c669c62047dc1cce10","306679213856b2bc318b25560cbf43fcb6598734","2026-07-15T12:12:11+08:00","fix(stage034): register warm start protocol and harden reviewer gates"
"58","dcb393c6aceba7e845dc033f2ec864e960279e05","17190c25ed69826135abfdb8c175f5426484d8be","2026-07-15T19:39:05+08:00","fix(stage034): remove stale Stage 3.3 full replay from prerequisite gate"
"59","cfd0479df631be2b37e801348206a66391c7c126","b63a4bd5f0423076d045a3159797c5336be74e97","2026-07-15T20:07:54+08:00","feat(stage034): publish accepted formal evidence READY_FOR_STAGE04"
"60","03f3687d96b5cb261edf2a6341a0b4e2b7e8c72b","d2afad7b7aade7adc66a6d2fcbfd02e1469aeea1","2026-07-15T20:15:11+08:00","fix(stage034): guard stage023 manifest read and fix file handle leak"
"61","4b81350a7c65128877311bb4fdb95d0a3bb7c7bc","d9af5afc2e03b07ce5377493656329e039fb5258","2026-07-15T21:01:37+08:00","feat(stage034): surface route/operator timing and backend batch metrics in review CSVs"
"62","795e82bfa3ddf27b41a4add8ecef2bfea95ad770","28b3924c9a3b9c347507c305cf34d86612883163","2026-07-15T22:11:50+08:00","feat: implement Stage 4 adaptive weights and search control"
"63","aab29a10a2bd20bc2127b37847d3944827f45335","4d284673c415f249b582dd68b70a92ad19c51701","2026-07-15T22:12:28+08:00","fix: correct objective_schema_version in stage04 config"
"64","e0c203e1eed3796feaef0dba87bf31dcbc3e3588","7d1faf19d466d1644307ff0e441650f2c9354b6f","2026-07-15T22:41:08+08:00","fix(stage04): restrict call-sufficiency and six-category gates to wall_clock axes"
"65","f9e7e1e4f26cc6c0e69402cbaa0a46efca4c441b","daad55b14a17e9fb88c798975722c64ea8e6c44f","2026-07-15T23:14:57+08:00","feat(stage04): publish formal adaptive-weights evidence READY_FOR_STAGE05"
"66","dc935320f79257142525ef5f59af8763fe6eeb1c","ca1bc5d42de3e2568fd4ac2dfe35c937680a1ca1","2026-07-16T00:49:38+08:00","feat(stage051): implement best-known values collection and compatibility assessment"
"67","c5dd1368b1a2e5e6c06c965dde76915abe8f48ef","3b6a003bf76553019c6cb8d5805fc1b662ddc4f5","2026-07-16T00:52:17+08:00","feat(stage051): publish best-known evidence READY_FOR_STAGE05_2"
"68","fa76a76cefd9beec192018e09abef04bc1bdd475","f735cb61d862a20bd0dfd397963ffd4359ee8033","2026-07-16T18:49:43+08:00","fix(stage04-stage051): harden evidence replay gates"
"69","19b4e141b2217bfa4db928d06783c27ae155bf93","e48bdded3950b574ff9a7bec82ed32df6556d092","2026-07-16T20:12:20+08:00","publish(stage04): accept v2 formal evidence"
"70","c3009da3ee33cabc1eb353e171fb64f08d008f23","e561dbc053b02b9c72a0f74fa3dcac48609fcd95","2026-07-16T20:15:01+08:00","publish(stage05.1): accept canonical v2 evidence"
"71","49220b3ecb09cc9077cb69b7b07924b6076a5239","61bf20273c6f2afd7e68fad24fce577d30c341fc","2026-07-16T20:18:10+08:00","chore(stage04): close static typing gaps"
"72","1481a434019c727e44eb6bc788e34de6f195f113","fcdcd4b6a43f39f7e0c415b72ccc2f2bf7669394","2026-07-16T20:31:57+08:00","fix(stage04-stage051): enforce independent v3 evidence gates"
"73","86c30c2b1c74e78a2447da5b218b34a8ab66edbd","405132551e9d6c21026ec813cea410bb49baf38d","2026-07-16T21:29:12+08:00","publish(stage04): accept strict v3 evidence"
"74","27c78dbef2860bebe6e867261557df931a16afd7","c1549d82957848856313a39f92f68f77ef1e3268","2026-07-16T21:32:10+08:00","publish(stage05.1): accept strict v3 evidence"
"75","e1acf9e742217c10c9af1188940747e2d5f03336","d2980dfc9b5231aa7d627c823fa89a295063fb9c","2026-07-16T21:44:26+08:00","fix(stage04): enforce complete segment evidence"
"76","02d7d2f06fa78f401d1b32e9bda549ee99aea73c","e4434e9f86d842d63c40abef9a484416748ec987","2026-07-16T21:48:10+08:00","fix(stage04): classify interrupted operator calls"
"77","ec8705843d7c0e842a9621985107880c9e22f98d","eb70cab772e0920c212894f6ae4ebce2d89297dc","2026-07-16T21:51:31+08:00","fix(stage04): finish classification at work boundary"
"78","9eb37a8e6a60bd94fbc6bf5c61fa42c7feaa1223","bdf21e5653348b66fff25894b23763d92cb84c01","2026-07-16T22:48:31+08:00","publish(stage04): accept complete v4 evidence"
"79","19afe23a5104d1bc9be4a5a1bd2859c19a09a3fc","a1479ada4aa1f9b5ab0dabf51443b52409a82e96","2026-07-16T22:59:10+08:00","fix(stage04): preserve exact budget boundary semantics"
"80","7ef2450dc9799abc13e4a7bbf919f1824ab4cdd2","fd447459f6150cddf90a72ba67581e730a8abd0e","2026-07-16T23:30:06+08:00","fix(stage04): distinguish state events at budget boundary"
"81","3921aa48a8d524e73a0c56ad41243301c6d314cf","f58e54fa91e14ea47a48872a24ce5f2e72cd5922","2026-07-17T19:38:21+08:00","publish(stage04): accept v5 formal evidence"
"82","2990d6acf6a5315b40f1bb881149deafcb915b34","301fe683f6fcf07d47818e3d7d8ae8263baf681e","2026-07-17T19:40:58+08:00","publish(stage05.1): accept v5 BKS evidence"
"83","9725a5a164c712d789bc3862a64c0dee518a0ba6","38782d91d70c829ad277f04e9d1011375ab11ab2","2026-07-17T19:55:28+08:00","fix(stage04): harden v6 evidence identities"
"84","923e4a9516ca787efc7998363bd43d49cb14b563","700e7de1427f1e2edec3a3424ce39cc4013f6730","2026-07-17T21:02:57+08:00","publish(stage04): accept v6 formal evidence"
"85","38b8497754c1d0653bc3617e54e0088cab6e329a","15005dd558633115ff534a38a879f83fa874af4e","2026-07-17T21:05:56+08:00","publish(stage05.1): accept v6 BKS evidence"
"86","1d861c2077395a1dbfd8c3d40bd2f7baab5c09b2","f84040079f99537ba12b813578cdc67e1213fb25","2026-07-17T21:06:21+08:00","docs: clarify stage05.1 v6 prerequisite"
"87","bd7808e97fd0356e55b2ff792f231fdce6a3c8e9","729c1e72689c4fb19210ac7764d6da349b1fd0a2","2026-07-17T21:06:36+08:00","docs: retire obsolete stage05.1 readiness wording"
"88","22fe4036d75206a63edd69eed2a4edd1a2f1f205","b16d234b2ae58052c02f4c84b011b84c6d4aa9c9","2026-07-17T21:47:07+08:00","docs: define stage 5.2 performance workflow"
"89","bade57a708a4ebe570f99f8f4976c73ac88246ad","5c15aee0cbcd10b972975eaa167aa49b78c66e59","2026-07-18T00:32:51+08:00","feat(stage05.2): implement performance benchmark pipeline"
"90","e0a39bc6326df3b1159f39ee2dca985783d287b9","f9992c43b765bcaf565234a675a78021b019ab24","2026-07-18T00:40:00+08:00","fix(artifacts): ignore AppleDouble metadata during audit"
"91","b664ddaca05098b31c3f9ea526daee0de2934195","359574690ec0cf50b822c6a344fb3507fa50c028","2026-07-18T00:56:34+08:00","fix(stage05.2): isolate component optimization profiles"
"92","20a3319f4718eb11d558cb6b0cf0b424e60e2b97","466e0b6de5142bac76454b67982bebc25efe4c3c","2026-07-18T01:25:06+08:00","fix(stage05.2): attribute persistence by axis work"
"93","fe1f8f0cbc26ad35df443084ea1aae84973b92ba","a4dcc13819be76eb1d94b29cdc715d739348bb12","2026-07-18T02:10:22+08:00","perf(stage05.2): cache python distance hot path"
"94","9ca24a69a0fe7ed2c4c9f7ee24fe461e40d7d5e8","83baa340e10eb68c68444569fd25a4b420a5d65f","2026-07-18T02:14:32+08:00","fix(stage05.2): audit promotion on 100-customer pairs"
"95","4ed585f97ec4057851f9d1965043b0182e046335","bd6948863226c1d670062f8e2d7d4b4592735b39","2026-07-18T06:06:20+08:00","feat(stage05.2): audit streaming storage promotion"
"96","5337f85809f35ba52ac3b990c9f50b8e27a108cf","8933bcaf353317093cff797bbefa910c8bc9d862","2026-07-18T07:30:25+08:00","feat(stage05.2): stream artifact shards within memory budget"
"97","906e3a50a91f68ade447692b4f4d30060efd8da6","6bc92d36ead3527f7c5731811c844b86a3381a48","2026-07-18T07:36:00+08:00","fix(stage05.2): widen streaming route identities"
"98","5a4ba221e4594c8628c9ea335611e92e8c71f010","ec0fbe88eb5fa42ede6cab4eb4abf9710f0f9e1d","2026-07-18T08:42:07+08:00","perf(stage05.2): encode replayable screening definitions"
"99","741f4710491ec06680588a902ff5ebe6f55e4a6f","f7cdc73ff8bad076e25c9404d3af43b56c6e324b","2026-07-18T09:04:38+08:00","docs(stage05.2): accept artifact storage v2"
"100","a2ee1cba1238b4fe9a7653425540b8b1d961e02c","25d884c0ec3afe6a27ec78d9f5c63887fe62ba23","2026-07-18T09:27:44+08:00","feat(stage05.2): bind component prerequisites and resources"
"101","8a60c5726ea0f0b72802a6f0f007caf6701f4bc1","37c2d94cc9ef50ccddee26849655d60521ef739c","2026-07-18T16:24:33+08:00","fix(stage05.2): harden job parallel evidence"
"102","11c96bb7167e1424dc83b496253c11ef6f02b3d3","4b7221cc1175de1b0045c1a657daadfb07352b60","2026-07-18T17:08:10+08:00","perf(stage05.2): parallelize independent replay"
"103","a08fcc8430162bf8974c3fe9ae4323dce2007b47","ba22fdd61a64ec1fa2355685321ede2f2e72231d","2026-07-18T19:17:32+08:00","feat(stage05.2): implement native kernel evidence chain"
"104","0fa40830fb284e75a9097d53e833f6eeda7eff7b","6d619845a2a61dded911305c81a93f35c965e97b","2026-07-18T19:19:57+08:00","fix(stage05.2): tolerate AppleDouble review metadata"
"105","1fa508df56abfe5498c916327c81a98d6e300c39","1639f5e4663ae6d23c8dbdceb4d205c27b0493d1","2026-07-18T20:09:25+08:00","fix(stage05.2): reconcile unique exact route identities"
"106","ca766a035a1c5413c61277f50d6904e3de7f238f","ebbd386d9f99a2b2d8cd35a1ab4e94a93d53d56c","2026-07-18T20:47:43+08:00","fix(stage05.2): match Python compensated route totals"
"107","b5cec42c5859d41b178b7d438492c05da7cfa845","b9f10639b65a4824db5dab37f1183f9ed1a86857","2026-07-18T21:14:12+08:00","docs(stage05.2): record accepted D-F evidence"
"108","206740cb06514932d31d1c2d71c81c8c7325ab73","b9ffe376771a2530c67cf5406c357f3002131797","2026-07-19T04:07:59+08:00","feat(stage05.2): harden evidence campaign chain"
"109","59553ec122fdc24b6ccb86f39dfe5b86d86d5984","16421ed159e7ce916fd9851bbc269de4e7e4ff91","2026-07-19T04:15:11+08:00","fix(packaging): discover repository from wheel runtime"
"110","2a3b5ecd95d5e95f2de28866bb6c628b8027ae52","ab133b6d4a6ce5167681ce7a8aefffa2fcf7268e","2026-07-19T04:28:19+08:00","fix(stage05.2): infer historical E03 screening schema"
"111","007317064812fb53f987110f418f1bf15fc32f52","8c3cee6eb5652e827c4de5b5bd485f8d1f3da2dd","2026-07-19T10:31:17+08:00","fix(stage05.2): bound streaming persistence"
"112","7ebb4f507c6cf39d9d253a137bf197cc755d4752","e49d33e6cdddfdce77ee53fea7c564e4495dd143","2026-07-19T11:13:22+08:00","fix(stage05.2): reconcile streamed event counts"
"113","5fd5796c38d96b34b72b6cb7ce57318252c645e2","3d88e76fa6e93efcb16e207172a0878b28e4db25","2026-07-19T12:42:06+08:00","fix(stage05.2): preserve bounded storage semantics"
"114","077cc04d59635d47bf7decfb51b2a6b53bee2730","1ee66fa304627f7f31ba9e4b3ecd92cdaaca88f7","2026-07-19T13:51:30+08:00","fix(stage05.2): bound neighborhood persistence"
"115","85302b4d4c9548a94b94049538957209c6a7c718","b02a452f1cd57a1fd15e3bec1f4a984be50f7d0c","2026-07-19T14:59:32+08:00","perf(stage05.2): stream typed screening occurrences"
"116","2146cf2e8fc024b69187d3039667fc6c3310e456","cd0d5bbc423a85c76b64a9f4fd5d260678985005","2026-07-19T16:27:11+08:00","perf(stage05.2): batch screening occurrence columns"
"117","2ab36ede543b64b286b1aa12ffd89f4257e74b21","0d212e844cf325392e4b6607abda4440df2b1782","2026-07-19T23:12:07+08:00","perf(stage05.2): complete bounded streaming persistence"
"118","fa829d0f6ad1b681e52e26c94c3e1f11c662aaa0","c60f2fd0ad4b3041e16125a6e22d08bf6dd396ca","2026-07-20T00:33:00+08:00","perf(stage05.2): batch screening transactions"
"119","75400e6fe3b72276e92d7c06adc931ded5ac3609","e4e9fe4b079d8944051e505f68c270cd16c48dd1","2026-07-20T02:21:09+08:00","perf(stage05.2): remove route identity hot-path overhead"
"120","5fba50eb4f8e37b3a38d62b30b383dcb48204041","abe7c798c50f31be7deaf542a404294e356e86ba","2026-07-22T12:54:12+08:00","fix(stage05.2): rebuild Windows WSL2 evidence pipeline"
"121","062f80058e3be7a8f836f3a9532069b787518c55","14909367b97baccd4922f5bda9631ce5612b036a","2026-07-22T13:06:00+08:00","fix(stage05.2): decode localized Windows identity output"
"122","393c270d88ef419fa9793f527a5f7a3d7c559db1","aa89fbb2f238811d3f14ec3bc21cf3e3ff8afce2","2026-07-22T13:53:29+08:00","fix(stage05.2): bind review to external staging root"
"123","12b4c39019e66a4da1f1b90ccc6b6c2dc4be6f93","f80a0856d9759db501892dcd3b73b7de1a878fd1","2026-07-22T14:18:33+08:00","fix(stage05.2): seal persistence review envelopes"
"124","6bd818d0a870e86430ba8fed6bf6474a55f03a31","a781bb06438dca9f4a45d6ceef05ed23de5e6498","2026-07-22T14:36:21+08:00","fix(stage05.2): admit signed campaign lock snapshot"
"125","7f0944e721eec380affcfdb6caf3e8b44fc6aa42","d233acb048d00e2efacac78b6f5e50c78c7bef9d","2026-07-22T14:53:40+08:00","fix(stage05.2): defer local files to snapshot gate"
"126","2e425f64fe48948acef3d8aad1d1d681c4067523","073f2361c6fba033fd3ebca616593fa7ed32e0e7","2026-07-22T17:29:51+08:00","fix(stage05.2): bound reviewer replay memory"
"127","8a73e0604fbc61e5163e902d49f36b5991f2ac71","07a291a616b228933aed382cc6d9262bb9506bcd","2026-07-22T17:47:48+08:00","fix(stage05.2): harden reviewer service receipts"
"128","dec92519fe59b679d34ce61fe3c67db651b0959b","5d997c0c640938383e9ec371c850d945dc4a4cdc","2026-07-22T17:54:37+08:00","fix(stage05.2): seal reviewer runtime provenance"
"129","147d28430250d81a9386a5ecbf4c714b044f3b50","ded893392edd35feb8177d39fc05b1ab15b1a729","2026-07-22T18:00:07+08:00","fix(stage05.2): bind producer-local source files"
"130","8e88e3fd5b4834833080ccc304a6dc261bde34b3","a11aa824432cdef4fae5221978ec5ab69a79732d","2026-07-22T18:04:26+08:00","fix(stage05.2): preserve reviewer venv identity"
"131","992ec918030a598e6bee796568af930bb4ca1bd6","fde9e446b97099d4ed64605df38c87e18d0da59d","2026-07-22T18:10:27+08:00","fix(stage05.2): fail closed on missing cgroup peaks"
"132","8fbf50fc56dfbe602491ae6a1461daeafb311fd7","0b5c23d2edc489e2aecf02aa3c951642267b1631","2026-07-22T19:13:47+08:00","fix(stage05.2): bound semantic mismatch spool"
"133","53db1833223b7699f12965a1b42d0fda9567b735","d6df8c66644b3d3ed62e3f604de609fa3ea0a7ca","2026-07-22T19:44:07+08:00","fix(stage05.2): spool one review bundle at a time"
"134","d39da00b603ceaa52e2de199dbf3cd52090c537e","b581e8b3c8517d0df9fdad66b2c14e3234d5812a","2026-07-22T20:26:45+08:00","fix(stage05.2): bound reviewer page cache"
"135","e6e12e265c72604e210598cb66c7dcbefdd1ab6a","97179b495e10aa4f5bb912897dbe208765a59326","2026-07-22T21:30:28+08:00","fix(stage05.2): bind reviewer interop path"
"136","e722292769c9a848f02d470cb1a1914c6cf665df","942435140d86238bd0da82e7a75911fcbf78d310","2026-07-22T21:47:17+08:00","fix(stage05.2): separate producer review identity"
"137","cea8e70cdfa06580d347b0990561ed10f168a18d","aa591642b89dbe5a990f166fa8371f3affab9b7d","2026-07-22T22:00:49+08:00","fix(stage05.2): preserve failed review retries"
"138","1faf761f0788fdab12fb9fb325d1165f879d3c39","f74efb02ce8fe78732f9700d29da741d3f2bf17f","2026-07-22T22:57:34+08:00","fix(stage05.2): share frozen producer identity replay"
"139","e13bc9a6f8aac78b2fa919dc5f8ba386aa4c72bf","26fa6c3e6200a42ab06d33871c8c4d56b0b32128","2026-07-23T05:23:15+08:00","Harden Stage 5.2 retention and bounded review"
"140","54b6c04b75d2f7d5c0dbb3c2e0de464cad402810","97148f9a08e3fd8bdb16671bee1f13edd8cbda87","2026-07-23T05:59:37+08:00","Close Stage 5.2 review integrity gaps"
"141","e549d9f07d421a4449aa3716f9dd20735bdc854a","60bcb97aac972b93f0d64c16c5780fd2420323f2","2026-07-23T07:37:36+08:00","Archive pre-C Stage 5.2 evidence"
"142","8e93b478067e2ba5eb3128ad697c0aae8d745c4c","b7923d3cc255d5de321e053e5cca19f60141c3b0","2026-07-23T07:46:42+08:00","Replay Stage 5.2 prerequisites from frozen producer roots"
"143","073b6b14b159dd6256b460ab2bb85bd2e33c9e74","a28239ed8aaf3e12feebceea16b4121c17398b87","2026-07-23T08:56:50+08:00","Recognize embedded Stage 5.2 v1 screening evidence"
"144","5024e1ffe90723834328f8a3a452175470da5411","7530b8ab6e6f4d6f5bd9b62f1369bfae4982b9dc","2026-07-23T10:57:33+08:00","Fix Stage 5.2 native evidence hot path"
"145","cffa5a5b3ad3e13637e9c44ea18e2a2fbde7c463","6600cadcffa75242ce84d32642ff474f432858f3","2026-07-23T11:55:49+08:00","Bound Stage 5.2 evidence identity stores"
"146","75cf816f3ce6f0f8b34db7f9243d9189cd5eaa14","549f14aa9701ae85c39a849747849e5e63d28357","2026-07-23T13:58:50+08:00","Audit Stage 5.2 async evidence persistence"
